ID,Name,country,lat,lon,height
  239,BASEL BINNINGEN                         ,CH,+47:32:00,+007:35:00, 316
   64,BUDAPEST                                ,HU,+47:30:40,+019:01:14, 153
   43,DRESDEN WAHNSDORF                       ,DE,+51:07:00,+013:41:00, 246
 1860,HEATHROW                                ,GB,+51:28:44,-000:26:56,  25
  480,KASSEL                                  ,DE,+51:17:52,+009:26:37, 231
  228,LJUBLJANA BEZIGRAD                      ,SI,+46:03:56,+014:30:45, 299
  168,MAASTRICHT                              ,NL,+50:54:19,+005:45:43, 114
 5175,MALMO                                   ,SE,+55:36:36,+013:04:48,  20
  786,MONTELIMAR                              ,FR,+44:34:52,+004:43:59,  73
   52,MUENCHEN                                ,DE,+48:09:51,+011:32:39, 515
  193,OSLO BLINDERN                           ,NO,+59:56:34,+010:43:15,  94
   36,PERPIGNAN                               ,FR,+42:44:14,+002:52:22,  42
  176,ROMA CIAMPINO                           ,IT,+41:47:00,+012:35:00, 105
   15,SONNBLICK                               ,AT,+47:03:00,+012:57:00,3106
   10,STOCKHOLM                               ,SE,+59:21:00,+018:03:00,  44
 2190,TOURS                                   ,FR,+47:26:40,+000:43:38, 108
